index,path,symbol,coin_name,UCID,key_derivation,xprv_priv_header,xprv_pub_header,pub_key_hash,script_hash,wif,main_version_byte,test_version_bytes,evm,comment,status,level
234,0x800000ea,IOV,IOV,,,,,,,,,,,,,1
235,0x800000eb,FIO,FIO,,,,,,,,,,,,,1
236,0x800000ec,BSV,BitcoinSV,,secp256k1,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,,,,,,1
237,0x800000ed,DXN,DEXON,,Non-secpk,,,,,,,,,,,1
238,0x800000ee,QRL,Quantum Resistant Ledger,,,,,,,,,,,,,1
239,0x800000ef,PCX,ChainX,,,,,,,,,,,,,1
240,0x800000f0,LOKI,Loki,,,,,,,,,,,,,1
241,0x800000f1,,Imagewallet,,,,,,,,,,,,,1
242,0x800000f2,NIM,Nimiq,,,,,,,,,,,,,1
243,0x800000f3,SOV,Sovereign Coin,,,,,,,,,,,,,1
244,0x800000f4,JCT,Jibital Coin,,,,,,,,,,,,,1
245,0x800000f5,SLP,Simple Ledger Protocol,,,,,,,,,,,,,1
246,0x800000f6,EWT,Energy Web,,,,,,,,,,,,,1
247,0x800000f7,UC,Ulord,,,,,,,,,,,,,1
248,0x800000f8,EXOS,EXOS,,,,,,,,,,,,,1
249,0x800000f9,ECA,Electra,,,,,,,,,,,,,1
250,0x800000fa,SOOM,Soom,,,,,,,,,,,,,1
251,0x800000fb,XRD,Redstone,,,,,,,,,,,,,1
252,0x800000fc,FREE,FreeCoin,,,,,,,,,,,,,1
253,0x800000fd,NPW,NewPowerCoin,,,,,,,,,,,,,1
254,0x800000fe,BST,BlockStamp,,,0x0488ADE4,0x0488B21E,0x00,0x05,0x80,,,,,,1
255,0x800000ff,STH,SmartHoldem,,,,,,,,,,,,,1
256,0x80000100,NANO,Bitcoin Nano,,,,,,,,,,,,,1
257,0x80000101,BTCC,Bitcoin Core,,,,,,,,,,,,,1
258,0x80000102,ZP,Zen Protocol,,,,,,,,,,,,,1
259,0x80000103,ZEST,Zest,,,,,,,,,,,,,1
260,0x80000104,ABT,ArcBlock,,,,,,,,,,,,,1
261,0x80000105,PION,Pion,,,,,,,,,,,,,1
262,0x80000106,DT3,DreamTeam3,,,,,,,,,,,,,1
263,0x80000107,ZBUX,Zbux,,,,,,,,,,,,,1
264,0x80000108,KPL,Kepler,,,,,,,,,,,,,1
265,0x80000109,TPAY,TokenPay,,,,,,,,,,,,,1
266,0x8000010a,ZILLA,ChainZilla,,,,,,,,,,,,,1
267,0x8000010b,ANK,Anker,,,,,,,,,,,,,1
268,0x8000010c,BCC,BCChain,,,,,,,,,,,,,1
269,0x8000010d,HPB,HPB,,,,,,,,,,,,,1
270,0x8000010e,ONE,ONE,,,,,,,,,,,,,1
271,0x8000010f,SBC,SBC,,,,,,,,,,,,,1
272,0x80000110,IPC,IPChain,,,,,,,,,,,,,1
273,0x80000111,DMTC,Dominantchain,,,,,,,,,,,,,1
274,0x80000112,OGC,Onegram,,,,,,,,,,,,,1
275,0x80000113,SHIT,Shitcoin,,,,,,,,,,,,,1
276,0x80000114,ANDES,Andescoin,,,,,,,,,,,,,1
277,0x80000115,AREPA,Arepacoin,,,,,,,,,,,,,1
278,0x80000116,BOLI,Bolivarcoin,,,0x0488ADE4,0x0488B21E,0x55,0x05,0xD5,,,,,,1
279,0x80000117,RIL,Rilcoin,,,,,,,,,,,,,1
280,0x80000118,HTR,Hathor Network,,,,,,,,,,,,,1
281,0x80000119,ACME,Accumulate,,,,,,,,,,,,,1
282,0x8000011a,BRAVO,BRAVO,,,,,,,,,,,,,1
283,0x8000011b,ALGO,Algorand,,,,,,,,,,,,,1
284,0x8000011c,BZX,Bitcoinzero,,,,,,,,,,,,,1
285,0x8000011d,GXX,GravityCoin,,,,,,,,,,,,,1
286,0x8000011e,HEAT,HEAT,,,,,,,,,,,,,1
287,0x8000011f,XDN,DigitalNote,,,,,,,,,,,,,1
288,0x80000120,FSN,FUSION,,,,,,,,,,,,,1
289,0x80000121,CPC,Capricoin,,,,,,,,,,,,,1
290,0x80000122,BOLD,Bold,,,,,,,,,,,,,1
291,0x80000123,IOST,IOST,,,,,,,,,,,,,1
292,0x80000124,TKEY,Tkeycoin,,,,,,,,,,,,,1
293,0x80000125,USE,Usechain,,,,,,,,,,,,,1
294,0x80000126,BCZ,BitcoinCZ,,,,,,,,,,,,,1
295,0x80000127,IOC,Iocoin,,,,,,,,,,,,,1
296,0x80000128,ASF,Asofe,,,,,,,,,,,,,1
297,0x80000129,MASS,MASS,,,,,,,,,,,,,1
298,0x8000012a,FAIR,FairCoin,,,,,,,,,,,,,1
299,0x8000012b,NUKO,Nekonium,,,,,,,,,,,,,1
300,0x8000012c,GNX,Genaro Network,,,,,,,,,,,,,1
